gvkey,splticrm,spsdrm,spsticrm,datadate,conm,tic
001045,D,,,2012-09-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-10-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-11-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-12-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-01-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-02-28,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-03-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-08-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-09-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-10-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2013-11-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2013-12-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-01-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-02-28,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-03-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-08-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-09-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B,,,2014-10-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2014-11-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2014-12-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2015-01-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2015-02-28,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2015-03-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2015-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B+,,,2015-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,BB-,,,2015-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,BB-,,,2015-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,BB-,,,2015-08-31,AMERICAN AIRLINES GROUP INC,AAL
001045,BB-,,,2015-09-30,AMERICAN AIRLINES GROUP INC,AAL
