Quarter,Companies,Tone,Positive Score,Negative Score,Polarity Score,Activity Reference Density,Self/Group Reference Density,Word Count 
2016Q2,LAD,1.471574152710371,2.614826420189735,1.1432522674793633,3.758078687669098,20.897117353182754,0.854193649449869,893.7878787878788
2016Q3,LAD,1.8828255885499128,2.626629518057908,0.7438039295079947,3.3704334475659032,20.465937888627824,0.8905998088867992,509.0892857142857
2016Q4,LAD,1.6900266618264181,2.944769566453322,1.254742904626904,4.199512471080227,21.176045734613325,1.0052419751337336,604.8235294117648
2017Q1,LAD,1.939874889832402,3.497949977020929,1.5580750871885265,5.056025064209455,19.23937530035827,0.4218068795234527,523.4767441860465
2017Q2,LAD,1.2210785389289047,2.6382427924638625,1.4171642535349576,4.0554070459988205,20.261346670697286,0.660713825375157,748.7093023255813
2017Q3,LAD,0.6219187653189694,2.4597073082007794,1.8377885428818097,4.297495851082588,20.950619243156346,0.7269019206716706,829.7411764705882
2017Q4,LAD,0.6654974102454704,2.0540600186999285,1.3885626084544578,3.4426226271543863,19.67372287204106,0.33798204278769217,1553.3194444444443
2018Q1,LAD,0.9254289113665495,3.0453171092092823,2.119888197842733,5.165205307052016,21.21282444070216,0.8117980778158304,800.2992125984252
2018Q2,LAD,1.0792887707181462,2.0955592036755477,1.0162704329574015,3.111829636632949,18.64275857774175,0.5129194275080475,703.8387096774194
2018Q3,LAD,1.966087638577772,2.712662581008552,0.74657494243078,3.4592375234393318,19.635090015907867,1.0471564799645818,703.0428571428571
2018Q4,LAD,1.4047181848992336,2.1820281915589916,0.7773100066597586,2.95933819821875,20.683359296913252,0.9406080309604455,869.7469879518072
2019Q1,LAD,1.9440835687733633,2.7645670715911694,0.8204835028178061,3.5850505744089753,19.95479907040397,0.9430530371353147,828.2777777777778
2019Q2,LAD,2.1940927681574514,3.103719697557295,0.9096269293998438,4.013346626957139,21.42049005805218,1.151887602924103,863.625
2019Q3,LAD,2.238836292575445,2.9570947338328186,0.7182584412573734,3.6753531750901924,20.059449488828687,0.8845023623755033,650.9294117647058
2019Q4,LAD,1.8629310444709968,2.8182734119616137,0.9553423674906162,3.7736157794522303,21.24699839864583,0.8989081708267813,771.0629921259842
2020Q1,LAD,0.2632011760794383,2.5906338104875104,2.327432634408071,4.918066444895582,20.028960490702755,0.8021379107070573,642.3947368421053
